% of Total,@Bar Color using Set,@Fake Highlight,@Highlight Bar Chart by Dist,@Highlight Bar Chart by Dist Group,@Swap Bars Filter,Close Date,Days in Theaters,Distributor,Distributor (copy),Distributor (group),Distributor (group) (copy),Highlight by Distributor Color,Length,Open Th,Rank ,Rank  ,Release,Release (copy),Release Date,Release Date (copy),Theaters,Total Gross (bin),@Bottom Bar Instructions Filter,@Bubble Size,@Highlight Bar Chart by Month,@Scatter Instructions Filter,@Top Movies Instructions Filter,@Worldwide Gross Non Null,Budget,Gross per Release,Number of Records,Opening,Random,Rank,Total Gross,Total Gross (copy),Worldwide Gross,Worldwide Profit
1.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),7,22,16,233 / 788,233,Between Me and My Mind,Between Me and My Mind,17/07/2019,17/07/2019,488,0K,21,$0.9 Million,7,11,1,0,,875191,1,14614,21885,233,875191,$0.9M,,$0M
49.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Eros International,Eros International,All Others (101 Total),All Others (101 Total),12,18,130,234 / 788,234,Pati Patni Aur Woh,Pati Patni Aur Woh,06/12/2019,06/12/2019,130,0K,21,$0.9 Million,12,11,1,0,,874044,1,432145,40694,234,874044,$0.9M,,$0M
42.50%,All Others (101 Total),,NADA,NADA,Month,10/04/2019,3,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),4,20,748,235 / 788,235,Howl's Moving Castle,Howl's Moving Castle,07/04/2019,07/04/2019,748,0K,21,$0.9 Million,4,11,1,0,,865647,1,368180,4820,235,865647,$0.9M,,$0M
-,Warner Bros.,,NADA,NADA,Month,,NA,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,5,11,-,236 / 788,236,The Goonies,The Goonies,01/05/2019,01/05/2019,-,0K,21,$0.9 Million,5,11,1,0,,864378,1,0,65229,236,864378,$0.9M,,$0M
57.90%,All Others (101 Total),,NADA,NADA,Month,22/05/2019,3,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),5,15,689,237 / 788,237,Steel Magnolias,Steel Magnolias,19/05/2019,19/05/2019,689,0K,21,$0.9 Million,5,11,1,0,,855421,1,495528,32637,237,855421,$0.9M,,$0M
2.20%,All Others (101 Total),,NADA,NADA,Month,13/06/2019,104,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),3,12,5,238 / 788,238,Woman at War,Woman at War,01/03/2019,01/03/2019,66,0K,21,$0.8 Million,3,11,1,0,,847495,1,18370,67851,238,847495,$0.8M,,$0M
46.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),10,5,682,239 / 788,239,Alien,Alien,13/10/2019,13/10/2019,682,0K,21,$0.8 Million,10,11,1,0,,833658,1,386976,75999,239,833658,$0.8M,,$0M
14.60%,A24,,NADA,NADA,Month,11/04/2019,41,A24,A24,A24,A24,3,6,5,240 / 788,240,Climax,Climax,01/03/2019,01/03/2019,217,0K,21,$0.8 Million,3,11,1,0,,817339,1,119423,17597,240,817339,$0.8M,,$0M
3.90%,All Others (101 Total),,NADA,NADA,Month,27/06/2019,118,Music Box Films,Music Box Films,All Others (101 Total),All Others (101 Total),3,7,2,241 / 788,241,Transit,Transit,01/03/2019,01/03/2019,72,0K,21,$0.8 Million,3,11,1,0,,815290,1,31931,73982,241,815290,$0.8M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,09/05/2019,2,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),5,24,-,242 / 788,242,Chonda Pierce: Unashamed,Chonda Pierce: Unashamed,07/05/2019,07/05/2019,783,0K,21,$0.8 Million,5,11,1,0,,787979,1,0,56655,242,787979,$0.8M,,$0M
-,Warner Bros.,,NADA,NADA,Month,,NA,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,11,3,-,243 / 788,243,Elf,Elf,01/11/2019,01/11/2019,-,0K,21,$0.8 Million,11,11,1,0,,786249,1,0,82589,243,786249,$0.8M,,$0M
59.40%,All Others (101 Total),,NADA,NADA,Month,23/05/2019,13,FIP,FIP,All Others (101 Total),All Others (101 Total),5,21,190,244 / 788,244,Student of the Year 2,Student of the Year 2,10/05/2019,10/05/2019,190,0K,21,$0.8 Million,5,11,1,0,,778566,1,462108,22993,244,778566,$0.8M,,$0M
35.30%,All Others (101 Total),,NADA,NADA,Month,27/06/2019,34,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),5,10,252,245 / 788,245,The Church,The Church,24/05/2019,24/05/2019,252,0K,21,$0.8 Million,5,11,1,0,,772000,1,272412,47316,245,772000,$0.8M,,$0M
28.40%,All Others (101 Total),,NADA,NADA,Month,21/03/2019,7,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),3,39,855,246 / 788,246,Patterns of Evidence: Moses Controversy,Patterns of Evidence: Moses Controversy,14/03/2019,14/03/2019,896,0K,21,$0.8 Million,3,11,1,0,,765361,1,217327,65056,246,765361,$0.8M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),8,36,-,247 / 788,247,I Love Lucy: A Colorized Celebration,I Love Lucy: A Colorized Celebration,06/08/2019,06/08/2019,634,0K,21,$0.8 Million,8,11,1,0,,754323,1,0,68977,247,754323,$0.8M,,$0M
4.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Neon,Neon,All Others (101 Total),All Others (101 Total),7,9,2,248 / 788,248,Honeyland,Honeyland,26/07/2019,26/07/2019,56,0K,21,$0.8 Million,7,11,1,0,,753537,1,31381,42993,248,753537,$0.8M,,$0M
4.70%,All Others (101 Total),,NADA,NADA,Month,28/03/2019,50,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),2,31,59,249 / 788,249,Joni 75: A Birthday Celebration,Joni 75: A Birthday Celebration,06/02/2019,06/02/2019,405,0K,21,$0.8 Million,2,11,1,0,,752205,1,35111,20761,249,752205,$0.8M,,$0M
5.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Sony Pictures Classics,Sony Pictures Classics,All Others (101 Total),All Others (101 Total),12,17,10,250 / 788,250,The Song of Names,The Song of Names,25/12/2019,25/12/2019,182,0K,21,$0.7 Million,12,11,1,0,,748240,1,39452,14323,250,748240,$0.7M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),9,17,-,251 / 788,251,The Game Changers,The Game Changers,16/09/2019,16/09/2019,610,0K,21,$0.7 Million,9,11,1,0,,739711,1,0,88425,251,739711,$0.7M,,$0M
5.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Sony Pictures Classics,Sony Pictures Classics,All Others (101 Total),All Others (101 Total),7,30,4,252 / 788,252,David Crosby: Remember My Name,David Crosby: Remember My Name,19/07/2019,19/07/2019,67,0K,21,$0.7 Million,7,11,1,0,,732793,1,43483,45813,252,732793,$0.7M,,$0M
25.70%,All Others (101 Total),,NADA,NADA,Month,18/04/2019,34,China Lion Film Distribution,China Lion Film Distribution,All Others (101 Total),All Others (101 Total),3,14,26,253 / 788,253,More Than Blue,More Than Blue,15/03/2019,15/03/2019,40,0K,21,$0.7 Million,3,11,1,0,,722669,1,185928,94760,253,722669,$0.7M,,$0M
46%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),10,11,47,254 / 788,254,The Captain,The Captain,18/10/2019,18/10/2019,47,0K,21,$0.7 Million,10,11,1,0,,706572,1,324769,51204,254,706572,$0.7M,,$0M
5.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Sony Pictures Classics,Sony Pictures Classics,All Others (101 Total),All Others (101 Total),9,20,4,255 / 788,255,Where's My Roy Cohn?,Where's My Roy Cohn?,20/09/2019,20/09/2019,66,0K,21,$0.7 Million,9,11,1,0,,705274,1,41202,22184,255,705274,$0.7M,,$0M
4.20%,All Others (101 Total),,NADA,NADA,Month,28/07/2019,86,IFC Films,IFC Films,All Others (101 Total),All Others (101 Total),5,11,2,256 / 788,256,Non-Fiction,Non-Fiction,03/05/2019,03/05/2019,89,0K,21,$0.7 Million,5,11,1,0,,704919,1,29853,56278,256,704919,$0.7M,,$0M
33%,All Others (101 Total),,NADA,NADA,Month,,NA,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),11,21,276,257 / 788,257,Spirits in the Forest,Spirits in the Forest,21/11/2019,21/11/2019,388,0K,21,$0.7 Million,11,11,1,0,,704744,1,232452,44062,257,704744,$0.7M,,$0M
13.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),8,43,18,258 / 788,258,Raise Hell: The Life & Times of Molly Ivins,Raise Hell: The Life & Times of Molly Ivins,30/08/2019,30/08/2019,42,0K,21,$0.7 Million,8,11,1,0,,694410,1,94504,83781,258,694410,$0.7M,,$0M
51.30%,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),10,15,194,259 / 788,259,The Sky Is Pink,The Sky Is Pink,11/10/2019,11/10/2019,194,0K,21,$0.7 Million,10,11,1,0,,652592,1,334713,70164,259,652592,$0.7M,,$0M
-,Warner Bros.,,NADA,NADA,Month,,NA,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,3,35,-,260 / 788,260,Nancy Drew and the Hidden Staircase,Nancy Drew and the Hidden Staircase,15/03/2019,15/03/2019,-,0K,21,$0.6 Million,3,11,1,0,,623088,1,0,34324,260,623088,$0.6M,,$0M
57.20%,All Others (101 Total),,NADA,NADA,Month,13/02/2019,4,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),2,13,650,261 / 788,261,Dirty Dancing,Dirty Dancing,09/02/2019,09/02/2019,650,0K,21,$0.6 Million,2,11,1,0,,622968,1,356515,20708,261,622968,$0.6M,,$0M
3%,All Others (101 Total),,NADA,NADA,Month,,NA,Abramorama,Abramorama,All Others (101 Total),All Others (101 Total),8,30,1,262 / 788,262,Miles Davis: Birth of the Cool,Miles Davis: Birth of the Cool,23/08/2019,23/08/2019,31,0K,21,$0.6 Million,8,11,1,0,,614201,1,18258,78656,262,614201,$0.6M,,$0M
41.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),10,24,396,263 / 788,263,Roger Waters - Us + Them,Roger Waters - Us + Them,02/10/2019,02/10/2019,497,0K,21,$0.6 Million,10,11,1,0,,611644,1,251842,60515,263,611644,$0.6M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,30/07/2019,5,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),7,16,-,264 / 788,264,The Muppet Movie,The Muppet Movie,25/07/2019,25/07/2019,727,0K,21,$0.6 Million,7,11,1,0,,610475,1,0,69387,264,610475,$0.6M,,$0M
40.20%,All Others (101 Total),,NADA,NADA,Month,15/08/2019,34,CMC Pictures,CMC Pictures,All Others (101 Total),All Others (101 Total),7,29,54,265 / 788,265,The White Storm 2: Drug Lords,The White Storm 2: Drug Lords,12/07/2019,12/07/2019,54,0K,21,$0.6 Million,7,11,1,0,,609461,1,244795,21126,265,609461,$0.6M,,$0M
46.50%,All Others (101 Total),,NADA,NADA,Month,20/02/2019,21,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),1,44,440,266 / 788,266,The Least of These: The Graham Staines Story,The Least of These: The Graham Staines Story,30/01/2019,30/01/2019,625,0K,21,$0.6 Million,1,11,1,0,,607015,1,282472,26948,266,607015,$0.6M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,11/07/2019,105,PBS Distribution,PBS Distribution,All Others (101 Total),All Others (101 Total),3,13,2,267 / 788,267,The Chaperone,The Chaperone,28/03/2019,28/03/2019,128,0K,21,$0.6 Million,3,11,1,0,,600654,1,12150,58596,267,600654,$0.6M,,$0M
26.20%,All Others (101 Total),,NADA,NADA,Month,11/04/2019,41,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),3,5,14,268 / 788,268,Furie,Furie,01/03/2019,01/03/2019,27,0K,21,$0.6 Million,3,11,1,0,,594788,1,156120,43064,268,594788,$0.6M,,$0M
60.40%,All Others (101 Total),,NADA,NADA,Month,27/03/2019,3,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),3,21,668,269 / 788,269,To Kill a Mockingbird,To Kill a Mockingbird,24/03/2019,24/03/2019,668,0K,21,$0.6 Million,3,11,1,0,,592237,1,357549,98400,269,592237,$0.6M,,$0M
40.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Entertainment Studios Motion Pictures,Entertainment Studios Motion Pictures,All Others (101 Total),All Others (101 Total),7,29,205,270 / 788,270,Bethany Hamilton: Unstoppable,Bethany Hamilton: Unstoppable,12/07/2019,12/07/2019,205,0K,21,$0.6 Million,7,11,1,0,,590671,1,241740,80245,270,590671,$0.6M,,$0M
45.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Greenwich Entertainment,Greenwich Entertainment,All Others (101 Total),All Others (101 Total),4,10,263,271 / 788,271,The Public,The Public,05/04/2019,05/04/2019,263,0K,21,$0.6 Million,4,11,1,0,,573503,1,259455,14833,271,573503,$0.6M,,$0M
63.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),2,12,652,272 / 788,272,My Fair Lady,My Fair Lady,16/02/2019,16/02/2019,652,0K,21,$0.6 Million,2,11,1,0,,560711,1,354764,48143,272,560711,$0.6M,,$0M
-,Warner Bros.,,NADA,NADA,Month,,NA,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,9,11,-,273 / 788,273,The Shining,The Shining,01/09/2019,01/09/2019,-,0K,21,$0.6 Million,9,11,1,0,,551257,1,0,84370,273,551257,$0.6M,,$0M
6.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Roadside Attractions,Roadside Attractions,All Others (101 Total),All Others (101 Total),8,30,7,274 / 788,274,Fiddler: A Miracle of Miracles,Fiddler: A Miracle of Miracles,23/08/2019,23/08/2019,77,0K,21,$0.5 Million,8,11,1,0,,549386,1,36425,34326,274,549386,$0.5M,,$0M
11.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Gunpowder & Sky,Gunpowder & Sky,All Others (101 Total),All Others (101 Total),11,22,29,275 / 788,275,Everybody's Everything,Everybody's Everything,12/11/2019,12/11/2019,121,0K,21,$0.5 Million,11,11,1,0,,547207,1,60582,92951,275,547207,$0.5M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),8,29,-,276 / 788,276,"DCI 2019: Big, Loud & Live 16","DCI 2019: Big, Loud & Live 16",08/08/2019,08/08/2019,513,0K,21,$0.5 Million,8,11,1,0,,546060,1,0,98292,276,546060,$0.5M,,$0M
11%,All Others (101 Total),,NADA,NADA,Month,,NA,Entertainment One,Entertainment One,All Others (101 Total),All Others (101 Total),6,21,16,277 / 788,277,La femme de mon frère,La femme de mon frère,07/06/2019,07/06/2019,30,0K,21,$0.5 Million,6,11,1,0,,539524,1,59438,45050,277,539524,$0.5M,,$0M
0.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),8,26,4,278 / 788,278,Grateful Dead Meet-Up 2019,Grateful Dead Meet-Up 2019,01/08/2019,01/08/2019,503,0K,21,$0.5 Million,8,11,1,0,,537153,1,3786,68946,278,537153,$0.5M,,$0M
36.30%,All Others (101 Total),,NADA,NADA,Month,,NA,FUNimation Entertainment,FUNimation Entertainment,All Others (101 Total),All Others (101 Total),5,40,479,279 / 788,279,Code Geass: Lelouch of the Re;Surrection,Code Geass: Lelouch of the Re;Surrection,05/05/2019,05/05/2019,490,0K,21,$0.5 Million,5,11,1,0,,522805,1,189617,60356,279,522805,$0.5M,,$0M
5.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),5,6,4,280 / 788,280,Shadow,Shadow,03/05/2019,03/05/2019,53,0K,21,$0.5 Million,5,11,1,0,,521396,1,27474,66929,280,521396,$0.5M,,$0M
5.10%,All Others (101 Total),,NADA,NADA,Month,10/10/2019,181,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),4,29,3,281 / 788,281,Long Day's Journey Into Night,Long Day's Journey Into Night,12/04/2019,12/04/2019,24,0K,21,$0.5 Million,4,11,1,0,,521365,1,26746,6074,281,521365,$0.5M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Ciesla Foundation,Ciesla Foundation,All Others (101 Total),All Others (101 Total),5,25,1,282 / 788,282,The Spy Behind Home Plate,The Spy Behind Home Plate,24/05/2019,24/05/2019,31,0K,21,$0.5 Million,5,11,1,0,,519525,1,10250,10806,282,519525,$0.5M,,$0M
5.80%,All Others (101 Total),,NADA,NADA,Month,04/07/2019,83,Greenwich Entertainment,Greenwich Entertainment,All Others (101 Total),All Others (101 Total),4,22,3,283 / 788,283,Wild Nights with Emily,Wild Nights with Emily,12/04/2019,12/04/2019,78,0K,21,$0.5 Million,4,11,1,0,,519487,1,30209,10053,283,519487,$0.5M,,$0M
52.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),6,19,642,284 / 788,284,Saving Private Ryan,Saving Private Ryan,02/06/2019,02/06/2019,642,0K,21,$0.5 Million,6,11,1,0,,508694,1,265125,11614,284,508694,$0.5M,,$0M
4.60%,All Others (101 Total),,NADA,NADA,Month,28/04/2019,75,The Orchard,The Orchard,All Others (101 Total),All Others (101 Total),2,16,2,285 / 788,285,Birds of Passage,Birds of Passage,12/02/2019,12/02/2019,97,0K,21,$0.5 Million,2,11,1,0,,507259,1,23082,26579,285,507259,$0.5M,,$0M
9.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Cohen Media Group,Cohen Media Group,All Others (101 Total),All Others (101 Total),8,16,11,286 / 788,286,Tel Aviv on Fire,Tel Aviv on Fire,02/08/2019,02/08/2019,37,0K,21,$0.5 Million,8,11,1,0,,506145,1,47545,63795,286,506145,$0.5M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,02/07/2019,1,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),7,20,-,287 / 788,287,Whisper of the Heart,Whisper of the Heart,01/07/2019,01/07/2019,745,0K,21,$0.5 Million,7,11,1,0,,498156,1,0,56582,287,498156,$0.5M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,21/05/2019,1,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),5,34,-,288 / 788,288,Nausicaä of the Valley of the Wind,Nausicaä of the Valley of the Wind,20/05/2019,20/05/2019,751,0K,21,$0.5 Million,5,11,1,0,,495770,1,0,24931,288,495770,$0.5M,,$0M
43.10%,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),8,11,81,289 / 788,289,Batla House,Batla House,15/08/2019,15/08/2019,81,0K,21,$0.5 Million,8,11,1,0,,493180,1,212645,905,289,493180,$0.5M,,$0M
32%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),9,12,102,290 / 788,290,The Climbers,The Climbers,30/09/2019,30/09/2019,102,0K,21,$0.5 Million,9,11,1,0,,487157,1,156096,32292,290,487157,$0.5M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),10,22,-,291 / 788,291,The Great Alaskan Race,The Great Alaskan Race,25/10/2019,25/10/2019,447,0K,21,$0.5 Million,10,11,1,0,,485603,1,0,31971,291,485603,$0.5M,,$0M
32.30%,All Others (101 Total),,NADA,NADA,Month,11/07/2019,112,None Listed,-,All Others (101 Total),All Others (101 Total),3,16,36,292 / 788,292,The Russian Five,The Russian Five,21/03/2019,21/03/2019,44,0K,21,$0.5 Million,3,11,1,0,,485049,1,156732,75500,292,485049,$0.5M,,$0M
60.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),9,18,661,293 / 788,293,Lawrence of Arabia,Lawrence of Arabia,01/09/2019,01/09/2019,661,0K,21,$0.5 Million,9,11,1,0,,482281,1,291722,39796,293,482281,$0.5M,,$0M
2.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Oscilloscope,Oscilloscope,All Others (101 Total),All Others (101 Total),2,12,1,294 / 788,294,CatVideoFest,CatVideoFest,14/02/2019,14/02/2019,103,0K,21,$0.5 Million,2,11,1,0,,470923,1,11269,24852,294,470923,$0.5M,,$0M
6.90%,All Others (101 Total),,NADA,NADA,Month,,NA,CJ Entertainment,CJ Entertainment,All Others (101 Total),All Others (101 Total),8,4,2,295 / 788,295,Exit,Exit,02/08/2019,02/08/2019,19,0K,21,$0.5 Million,8,11,1,0,,470699,1,32441,94906,295,470699,$0.5M,,$0M
64%,All Others (101 Total),,NADA,NADA,Month,,NA,Reliance Entertainment,Reliance Entertainment,All Others (101 Total),All Others (101 Total),12,7,175,296 / 788,296,Panipat,Panipat,06/12/2019,06/12/2019,175,0K,21,$0.5 Million,12,11,1,0,,461863,1,295624,54035,296,461863,$0.5M,,$0M
41.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),12,34,392,297 / 788,297,Les Misérables: The Staged Concert,Les Misérables: The Staged Concert,06/12/2019,06/12/2019,488,0K,21,$0.5 Million,12,11,1,0,,459478,1,192034,54071,297,459478,$0.5M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),11,14,-,298 / 788,298,Christmas Jars,Christmas Jars,04/11/2019,04/11/2019,789,0K,21,$0.5 Million,11,11,1,0,,459462,1,0,50361,298,459462,$0.5M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),12,28,-,299 / 788,299,Gorillaz: Reject False Icons,Gorillaz: Reject False Icons,16/12/2019,16/12/2019,284,0K,21,$0.5 Million,12,11,1,0,,453687,1,0,12334,299,453687,$0.5M,,$0M
58.10%,Sony Pictures Releasing,,NADA,NADA,Month,04/04/2019,13,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,3,16,708,300 / 788,300,Cruel Intentions,Cruel Intentions,22/03/2019,22/03/2019,708,0K,21,$0.4 Million,3,11,1,0,,445218,1,258708,32656,300,445218,$0.4M,,$0M
9.90%,All Others (101 Total),,NADA,NADA,Month,25/04/2019,13,Bleecker Street Media,Bleecker Street Media,All Others (101 Total),All Others (101 Total),4,11,4,301 / 788,301,Teen Spirit,Teen Spirit,12/04/2019,12/04/2019,696,0K,21,$0.4 Million,4,11,1,0,,441366,1,43620,44794,301,441366,$0.4M,,$0M
3.30%,All Others (101 Total),,NADA,NADA,Month,,NA,BritBox,BritBox,All Others (101 Total),All Others (101 Total),11,5,1,302 / 788,302,63 Up,63 Up,27/11/2019,27/11/2019,28,0K,21,$0.4 Million,11,11,1,0,,426253,1,13956,82399,302,426253,$0.4M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),5,14,104,303 / 788,303,De De Pyaar De,De De Pyaar De,17/05/2019,17/05/2019,104,0K,21,$0.4 Million,5,11,1,0,,425934,1,425934,89850,303,425934,$0.4M,,$0M
53.30%,All Others (101 Total),,NADA,NADA,Month,02/01/2019,-338,Pantelion Films,Pantelion Films,All Others (101 Total),All Others (101 Total),12,13,160,304 / 788,304,Killing Sarai,Killing Sarai,06/12/2019,06/12/2019,160,0K,21,$0.4 Million,12,11,1,0,,425332,1,226670,76815,304,425332,$0.4M,,$0M
6.20%,All Others (101 Total),,NADA,NADA,Month,27/06/2019,71,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),4,11,3,305 / 788,305,Hail Satan?,Hail Satan?,17/04/2019,17/04/2019,67,0K,21,$0.4 Million,4,11,1,0,,424284,1,26496,48980,305,424284,$0.4M,,$0M
53.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Eros International,Eros International,All Others (101 Total),All Others (101 Total),11,10,116,306 / 788,306,Pagalpanti,Pagalpanti,22/11/2019,22/11/2019,116,0K,21,$0.4 Million,11,11,1,0,,423340,1,227714,11285,306,423340,$0.4M,,$0M
